央视,#genre#
CCTV1,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV1hd-8M/live.m3u8
CCTV1,https://vip.taoiptv.cn/source/gitv.php?id=CCTV1hd-8M.m3u8&sign=06zcwd
CCTV1,https://vip.taoiptv.cn/source/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df.m3u8&sign=06zcwd
CCTV1,https://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=06zcwd$50FPS
CCTV1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-AVS-4K264.m3u8&sign=06zcwd$4K
CCTV1,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV1hd-8M.m3u8&sign=06zcwd
CCTV1,http://114.55.117.163:8081/iptv/itv.php?id=CCTV150FPS.m3u8&sign=06zcwd$50FPS
CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1$咪咕源
CCTV1,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8$鹏博士

CCTV2,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV2hd-8M/live.m3u8
CCTV2,https://vip.taoiptv.cn/source/gitv.php?id=CCTV2hd-8M.m3u8&sign=06zcwd
CCTV2,https://vip.taoiptv.cn/source/gzyx.php?id=2a8ffd4ee56b3fe048ac854671336398.m3u8&sign=06zcwd
CCTV2,https://vip.taoiptv.cn/source/itv.php?id=CCTV250FPS.m3u8&sign=06zcwd$50FPS
CCTV2,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-2-HD-265-8M.m3u8&sign=06zcwd
CCTV2,http://114.55.117.163:8081/iptv/itv.php?id=CCTV250FPS.m3u8&sign=06zcwd$50FPS
CCTV2,http://ygbh666.cn/aikmigu.php?id=cctv2$咪咕源
CCTV2,http://beijinglive.online.domybox.com:91/live/CCTV2hd-8M/live.m3u8$鹏博士

CCTV3,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV3hd-8M/live.m3u8
CCTV3,https://vip.taoiptv.cn/source/gitv.php?id=CCTV3hd-8M.m3u8&sign=06zcwd
CCTV3,https://vip.taoiptv.cn/source/gzyx.php?id=9c19c05ea31400b3c85598e71b2c39cf.m3u8&sign=06zcwd
CCTV3,https://vip.taoiptv.cn/source/itv.php?id=CCTV3HEVC.m3u8&sign=06zcwd$HEVC
CCTV3,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-3-AVS-4K264.m3u8&sign=06zcwd$4K
CCTV3,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV3hd-8M.m3u8&sign=06zcwd
CCTV3,http://114.55.117.163:8081/iptv/itv.php?id=CCTV3HEVC.m3u8&sign=06zcwd$HEVC
CCTV3,http://ygbh666.cn/aikmigu.php?id=cctv3$咪咕源
CCTV3,http://beijinglive.online.domybox.com:91/live/CCTV3hd-8M/live.m3u8$鹏博士

CCTV4,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV4hd-8M/live.m3u8
CCTV4,https://vip.taoiptv.cn/source/gitv.php?id=CCTV4hd-8M.m3u8&sign=06zcwd
CCTV4,https://vip.taoiptv.cn/source/gzyx.php?id=0ad5b86534e39cb9a77b00a76ac9fe12.m3u8&sign=06zcwd
CCTV4,https://vip.taoiptv.cn/source/itv.php?id=CCTV450FPS.m3u8&sign=06zcwd$50FPS
CCTV4,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-4-HD-265-8M.m3u8&sign=06zcwd
